id	full_text	video_url_list	created_at	user_id	user_name	user_friends_count	user_followers_count	user_statuses_count	created_at_ut	video_downloaded	downloaded_video_url0
1523687955260354561	"Avenra Gardens Hotel in Negombo has been set on fire including a super car collection. 
#SrilankanCrisis #GoHomeGota #SriLankaprotest #GotaGoGama #lka https://t.co/tPNDx70jyJ"	['https://video.twimg.com/ext_tw_video/1523687915292962817/pu/pl/R-AH-CsHXvAAmcV8.m3u8?tag=12&container=fmp4']	2022-05-09 15:34:51	1467767277583962113	Shehan Perera	5	5	52	1652090691	True	https://raw.githubusercontent.com/nuuuwan/ggg/main/videos/1523687955260354561-0.mp4
1523686058084298752	"You can throw, burn our books but you can never steal our wisdom. we will re build gota go gama till these looses go away. 

#SrilankanCrisis #GotaGoGama #GotaGoHome #SriLankaEconomicCrisis https://t.co/LLfWSxFGls"	['https://video.twimg.com/ext_tw_video/1523685923384397833/pu/pl/C0y7yZ2L2Ziaq2Qe.m3u8?tag=12&container=fmp4']	2022-05-09 15:27:19	61977012	Amodya 🇱🇰	0	0	1	1652090239	True	https://raw.githubusercontent.com/nuuuwan/ggg/main/videos/1523686058084298752-0.mp4
1523685525135458304	"He came for support @PresRajapaksa But in the end no one came for save him.

#srilanka #ProtestLK #GotaGoGama #අරගලයටජය #lka https://t.co/za0iVdTLxZ https://t.co/mk111AIXPk"	['https://video.twimg.com/ext_tw_video/1523685441760862211/pu/pl/XBDjqKG7yqOmdbad.m3u8?tag=12&container=fmp4']	2022-05-09 15:25:12	134440873	lucias	1278	860	2030	1652090112	True	https://raw.githubusercontent.com/nuuuwan/ggg/main/videos/1523685525135458304-0.mp4
1523682000766267394	"Salute to every single soul who support to the protest.
#SriLanka #GotaGoGama https://t.co/kixKBYt7dE"	['https://video.twimg.com/ext_tw_video/1523681656917266432/pu/vid/640x360/-QZ2_G2uNMmsFq2j.mp4?tag=12']	2022-05-09 15:11:12	824493161313505282	Praveen Dhananjaya	545	39	2492	1652089272	True	https://raw.githubusercontent.com/nuuuwan/ggg/main/videos/1523682000766267394-0.mp4
1523681456605700096	"#LIVE - Avenra Garden in Negombo attacked by Protesters... 

#GotaGoGama #ProtestLK #GoHomeRajapakshas #GoHomeMahinda #අරගලයටජය  #GotaGoHome2022 https://t.co/8CZDPynXw9"	['https://video.twimg.com/ext_tw_video/1523681389954179072/pu/vid/480x848/oF-gS4KWaYYjcsVj.mp4?tag=12']	2022-05-09 15:09:02	1424025262405029893	ShanM	1003	1105	955	1652089142	True	https://raw.githubusercontent.com/nuuuwan/ggg/main/videos/1523681456605700096-0.mp4
1523681302368907264	"#LIVE - Avenra Garden in Negombo attacked by Protesters... 

#GotaGoGama #ProtestLK #GoHomeRajapakshas #GoHomeMahinda #අරගලයටජය  #GotaGoHome2022 https://t.co/eczh0QKLIi"	['https://video.twimg.com/ext_tw_video/1523681249642090497/pu/vid/320x564/L2UK2-PORWsuI_3v.mp4?tag=12']	2022-05-09 15:08:25	1507645317944160257	SHAN	61	37	160	1652089105	True	https://raw.githubusercontent.com/nuuuwan/ggg/main/videos/1523681302368907264-0.mp4
1523678337742213122	Uni students marching towards #gotagogamakandy #gotagogama #kandy 8:15pm https://t.co/TeHBpxsLnH	['https://video.twimg.com/ext_tw_video/1523677745208864773/pu/vid/480x852/wTen_LJvPgE8KZ_T.mp4?tag=12']	2022-05-09 14:56:38	335246714	Rimzana Feshal ➙ 🇱🇰	3658	2565	7062	1652088398	True	https://raw.githubusercontent.com/nuuuwan/ggg/main/videos/1523678337742213122-0.mp4
1523677890956603392	"Don’t try to harm everyone, some don’t have any options to survive, but what they have done is wrong,
Just try to be against the main ones who are behind this injustice work done to the protesters at gotagogama, 
#GotaGoGama #GoHomeGota #peoplepower https://t.co/hYsdaFjq53"	['https://video.twimg.com/ext_tw_video/1523677784194920449/pu/vid/288x640/5OI2q0xHGLcKppEn.mp4?tag=12']	2022-05-09 14:54:52	1458831706727890949	Sharoth Saffardeen	36	0	12	1652088292	True	https://raw.githubusercontent.com/nuuuwan/ggg/main/videos/1523677890956603392-0.mp4
1523676864597745672	"Truly apocalyptic scenes near Beira Lake where angry protestors have overturned a number of buses and set fire to them.

#GotaGoGama #ProtestLK #GoHomeRajapakshas #GoHomeMahinda #අරගලයටජය  #GotaGoHome2022 https://t.co/dItffh36g0"	['https://video.twimg.com/ext_tw_video/1523676715461054464/pu/pl/imZetMX5Y8fMC2WL.m3u8?tag=12&container=fmp4']	2022-05-09 14:50:47	1424025262405029893	ShanM	1003	1105	955	1652088047	True	https://raw.githubusercontent.com/nuuuwan/ggg/main/videos/1523676864597745672-0.mp4
1523676832356179969	When asked as to why he attacked the GGG protestors, says he is single parent, with daughter, &amp; came because they threatened to cut off his Samurdhi relief/card. Tragic, on many levels.This is abuse of power this is like a dictatorship #GoHomeRajapakshas #GoHomeGota #GotaGoGama https://t.co/px7mTDDAut	['https://video.twimg.com/ext_tw_video/1523676789264031744/pu/pl/kzhGFN9BxirrgliN.m3u8?tag=12&container=fmp4']	2022-05-09 14:50:40	1513876911432388610	Thewmina	38	16	280	1652088040	True	https://raw.githubusercontent.com/nuuuwan/ggg/main/videos/1523676832356179969-0.mp4
